"","outputs"
"556",0
"557",0
"558",0
"559",331.72
"560",23.71
"561",498.83
"562",0
"563",0
"564",26.4
"565",0
"566",0
"567",0
"568",143.03
"569",0
"570",50.51
"571",0
"572",0
"573",0
"574",0
"575",0
"576",0
"577",191.41
"578",0
"579",0
"580",0
"581",0
"582",0
"583",54.51
"584",0
"585",4.19
"586",0
"587",0
"588",301.09
"589",0
"590",109.35
"591",150.69
"592",101.01
"593",0
"594",0
"595",353.88
"596",0
"597",56.72
"598",0
"599",0
"600",0
"601",0
"602",0
"603",0
"604",63.71
"605",0
"606",0
"607",17.18
"608",319.17
"609",0
"610",117.74
"611",115.58
"612",46.21
"613",0
"614",0
"615",0
"616",0
"617",1064.35
"618",29.85
"619",0
"620",31.35
"621",0
"622",66.88
"623",0
"624",0
"625",327.78
"626",0
"627",134.65
"628",0
"629",0
"630",28.59
"631",0
"632",0
"633",0
"634",0
"635",0
"636",0
"637",0
"638",0
"639",0
"640",0
"641",297.09
"642",0
"643",0
"644",0
"645",204.07
"646",0
"647",0
"648",0
"649",215.37
"650",0
"651",1020.34
"652",0
"653",0
"654",0
"655",395.42
"656",50.94
"657",0
"658",131.22
"659",102.76
"660",246.26
"661",29.28
"662",0
"663",31.92
"664",24.89
"665",26.21
"666",0
"667",0
"668",253.45
"669",0
"670",0
"671",317.46
"672",12.57
"673",0
"674",0
"675",0
"676",500.36
"677",0
"678",702.19
"679",0
"680",0
"681",0
"682",0
"683",0
"684",75.2
"685",0
"686",109.1
"687",0
"688",162.75
"689",6.99
"690",248.61
"691",0
"692",0
"693",268.59
"694",463.62
"695",109.85
"696",194.54
"697",0
"698",45.45
"699",0
"700",0
"701",0
"702",0
"703",32.72
"704",54.55
"705",0
"706",0
"707",0
"708",0
"709",0
"710",0
"711",0
"712",0
"713",0
"714",114.88
"715",0
"716",0
"717",0
"718",48.14
"719",0
"720",8.88
"721",0
"722",0
"723",0
"724",15.18
"725",9.92
"726",249.98
"727",0
"728",28.58
"729",0
"730",0
"731",45.77
"732",0
"733",0
"734",0
"735",200.98
"736",0
"737",841.89
"738",0
"739",313.24
"740",0
"741",0
"742",0
"743",0
"744",0
"745",0
"746",868.89
"747",44.55
"748",31.25
"749",0
"750",0
"751",36.21
"752",0
"753",228.79
"754",0
"755",0
"756",16.47
"757",0
"758",0
"759",12.77
"760",144.38
"761",328.27
"762",850.55
"763",0
"764",62.07
"765",86.89
"766",0
"767",98.45
"768",417.48
"769",0
"770",0
"771",613.81
"772",0
"773",67.81
"774",115.54
"775",36.5
"776",0
"777",0
"778",111.5
"779",0
"780",0
"781",0
"782",163.62
"783",0
"784",0
"785",0
"786",0
"787",0
"788",0
"789",124.93
"790",125.94
"791",0
"792",0
"793",0
"794",0
"795",0
"796",0
"797",0
"798",0
"799",0
"800",0
"801",104.94
"802",0
"803",195.87
"804",0
"805",0
"806",0
"807",0
"808",43.76
"809",38.81
"810",0
"811",0
"812",0
"813",0
"814",122.69
"815",0
"816",0
"817",0
"818",267.03
"819",4.29
"820",107.33
"821",256.66
"822",87.44
"823",53.22
"824",0
"825",66.61
"826",0
"827",0
"828",0
"829",0
"830",52.9
"831",0
"832",10.13
"833",0
"834",0
"835",0
"836",0
"837",0
"838",0
"839",0
"840",0
"841",0
"842",0
"843",0
"844",0
"845",0
"846",0
"847",3.43
"848",0
"849",0
"850",20.98
"851",0
"852",62.36
"853",28.03
"854",55.11
"855",784.92
"856",0
"857",0
"858",0
"859",200.51
"860",0
"861",0
"862",0
"863",0
"864",543.56
"865",0
"866",0
"867",88.79
"868",0
"869",56.31
"870",0
"871",46.61
"872",0
"873",0
"874",0
"875",787.97
"876",648.99
"877",161.85
"878",0
"879",103.45
"880",10.99
"881",84.45
"882",94.17
"883",265.34
"884",0
"885",0
"886",678.86
"887",0
"888",144.69
"889",0
"890",22.12
"891",0
"892",0
"893",0
"894",0
"895",0
"896",204
"897",0
"898",0
"899",0
"900",0
"901",1195.6
"902",0
"903",0
"904",131.38
"905",0
"906",0
"907",0
"908",78.15
"909",0
"910",0
"911",0
"912",0
"913",14.89
"914",0
"915",0
"916",331.77
"917",364.32
"918",0
"919",0
"920",0
"921",290.02
"922",0
"923",0
"924",284.17
"925",228.16
"926",0
"927",341.33
"928",118.08
"929",80.31
"930",0
"931",0
"932",10.09
"933",57.55
"934",38.58
"935",290.08
"936",0
"937",0
"938",0
"939",0
"940",24.81
"941",0
"942",411.1
"943",0
"944",0
"945",0
"946",41.42
"947",228.53
"948",0
"949",0
"950",0
"951",0
"952",144.56
"953",0
"954",0
"955",272.21
"956",0
"957",0
"958",0
"959",166.03
"960",0
"961",0
"962",60.47
"963",0
"964",0
"965",0
"966",80.36
"967",0
"968",48.97
"969",0
"970",0
"971",328.82
"972",21.7
"973",0
"974",0
"975",703.71
"976",40.11
"977",136.92
"978",0
"979",0
"980",0
"981",75.24
"982",445.68
"983",0
"984",0
"985",545.9
"986",0
"987",108.07
"988",0
"989",0
"990",0
"991",0
"992",0
"993",0
"994",238.4
"995",21.67
"996",0
"997",0
"998",0
"999",0
"1000",0
"1001",0
"1002",193.29
"1003",511.54
"1004",0
"1005",554.35
"1006",0
"1007",0
"1008",0
"1009",372.64
"1010",0
"1011",66.13
"1012",293.87
"1013",0
"1014",21.15
"1015",0
"1016",0
"1017",79.78
"1018",0
"1019",0
"1020",0
"1021",0
"1022",0
"1023",0
"1024",42.01
"1025",0
"1026",205.32
"1027",0
"1028",17.36
"1029",816.96
"1030",22.35
"1031",0
"1032",0
"1033",164.49
"1034",153.96
"1035",113.03
"1036",0
"1037",0
"1038",0
"1039",0
"1040",0
"1041",10.77
"1042",0
"1043",0
"1044",167.17
"1045",0
"1046",130.53
"1047",0
"1048",0
"1049",0
"1050",0
"1051",0
"1052",0
"1053",275.74
"1054",48.67
"1055",0
"1056",0
"1057",29.75
"1058",0
"1059",0
"1060",0
"1061",34.47
"1062",0
"1063",337.88
"1064",0
"1065",0
"1066",0
"1067",0
"1068",0
"1069",0
"1070",0
"1071",43.53
"1072",0
"1073",0
"1074",78.03
"1075",0
"1076",0
"1077",146.39
"1078",0
"1079",0
"1080",0
"1081",0
"1082",0
"1083",0
"1084",0
"1085",0
"1086",0
"1087",320.31
"1088",0
"1089",0
"1090",30.18
"1091",14.78
"1092",266.73
"1093",77.5
"1094",0
"1095",5.29
"1096",155.63
"1097",0
"1098",141.89
"1099",6.33
"1100",140.2
"1101",37.61
"1102",141.49
"1103",0
"1104",0
"1105",0
"1106",134.91
"1107",0
"1108",152.8
"1109",0
"1110",0
"1111",0
"1112",0
"1113",102.95
"1114",0
"1115",316.75
"1116",15.83
"1117",3.58
"1118",509.46
"1119",0
"1120",0
"1121",0
"1122",0
"1123",0
"1124",0
"1125",34.57
"1126",117.86
"1127",0
"1128",38.89
"1129",87.79
"1130",102.22
"1131",0
"1132",209.04
"1133",0
"1134",187.83
"1135",0
"1136",0
"1137",143.19
"1138",0
"1139",0
"1140",0
"1141",44.17
"1142",13.97
"1143",0
"1144",0
"1145",82.06
"1146",0
"1147",540.74
"1148",308.76
"1149",0
"1150",0
